HostIP,Status,Hostname,Username,Password,ILOIP,ILOName,ILOUser,ILOPassword,AssignTo,TestBed,StartDate,EndDate,IPMI,ESX,ESX_Build,OEM,Server_Model,CPU,CPU_Model,CPU_Speed,CPU_Codename,CPU_Sockets,CPU_Cores,CPU_Threads,Memory,No._of_VMs,CPU_Usage_%,Mem_Usage_%,Local_HDs,Total_NICs,Total_HBAs,NIC_1_Type,NIC_1_Speed,NIC_1_Description,NIC_1_Link,NIC_2_Type,NIC_2_Speed,NIC_2_Description,NIC_2_Link,NIC_3_Type,NIC_3_Speed,NIC_3_Description,NIC_3_Link,NIC_4_Type,NIC_4_Speed,NIC_4_Description,NIC_4_Link,NIC_5_Type,NIC_5_Speed,NIC_5_Description,NIC_5_Link,NIC_6_Type,NIC_6_Speed,NIC_6_Description,NIC_6_Link,HBA_1_Name,HBA_1_Description,HBA_2_Name,HBA_2_Description,HBA_3_Name,HBA_3_Description,HBA_4_Name,HBA_4_Description,HBA_5_Name,HBA_5_Description,HBA_6_Name,HBA_6_Description,HBA_7_Name,HBA_7_Description,HBA_8_Name,HBA_8_Description,HBA_9_Name,HBA_9_Description,HBA_10_Description,HBA_11_Name,HBA_11_Description,HBA_12_Name,HBA_12_Description,HD_1_Vendor,HD_1_Description,HD_1_Model,HD_1_Size,HD_2_Vendor,HD_2_Description,HD_2_Model,HD_2_Size,HD_3_Vendor,HD_3_Description,HD_3_Model,HD_3_Size,HD_4_Vendor,HD_4_Description,HD_4_Model,HD_4_Size,HD_5_Vendor,HD_5_Description,HD_5_Model,HD_5_Size,HD_6_Vendor,HD_6_Description,HD_6_Model,HD_6_Size,HD_7_Vendor,HD_7_Description,HD_7_Model,HD_7_Size,HD_8_Vendor,HD_8_Description,HD_8_Model,HD_8_Size,HD_9_Vendor,HD_9_Description,HD_9_Model,HD_9_Size,HD_10_Vendor,HD_10_Description,HD_10_Model,HD_10_Size,HD_11_Vendor,HD_11_Description,HD_11_Model,HD_11_Size,HD_12_Vendor,HD_12_Description,HD_12_Model,HD_12_Size,HD_13_Vendor,HD_13_Description,HD_13_Model,HD_13_Size,HD_14_Vendor,HD_14_Description,HD_14_Model,HD_14_Size,HD_15_Vendor,HD_15_Description,HD_15_Model,HD_15_Size,HD_16_Vendor,HD_16_Description,HD_16_Model,HD_16_Size,HD_17_Vendor,HD_17_Description,HD_17_Model,HD_17_Size,HD_18_Vendor,HD_18_Description,HD_18_Model,HD_18_Size,HD_19_Vendor,HD_19_Description,HD_19_Model,HD_19_Size,HD_20_Vendor,HD_20_Description,HD_20_Model,HD_20_Size,HD_21_Vendor,HD_21_Description,HD_21_Model,HD_21_Size,HD_22_Vendor,HD_22_Description,HD_22_Model,HD_22_Size,HD_23_Vendor,HD_23_Description,HD_23_Model,HD_23_Size,HD_24_Vendor,HD_24_Description,HD_24_Model,HD_24_Size,HD_25_Vendor,HD_25_Description,HD_25_Model,HD_25_Size
172.20.31.101,OK,isvmesx01,root,VMware10!,,,,,,,,,TRUE,6.7.0,,Dell Inc.,PowerEdge R640,Intel,Intel Xeon Platinum 8260 CPU @ 2.40GHz,2394,Intel-Other,2,48,96,766 GB,8,2.01,19.39,7,2,5,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,,,,,,,,,,,,,,,,,vmhba0,"Intel Corporation Dell Express Flash NVMe P4610 (MU) 1.6TB PCIe U.2 SSD Controller
",vmhba1,"Avago (LSI Logic) Dell HBA330 Mini
",vmhba2,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba3,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba4,"Marvell Technology Group Ltd. 88SE9230 PCIe SATA 6Gb/s Controller
",,,,,,,,,,,,,,Marvell,Local Marvell Processor (eui.0050430000000000),Console,0.0 GB,DP,Local DP Enclosure Svc Dev (naa.500056b393a639fd),BP14G+EXP,0.0 GB,ATA,Local ATA Disk (naa.55cd2e41513a0bcf),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a5c4f),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513b01d9),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (t10.ATA_____SSDSCKKB240G8R__________________________PHYH934000LU240J____),SSDSCKKB240G8R,223.5703125 GB,NVMe,Local NVMe Disk (t10.NVMe____Dell_Express_Flash_NVMe_P4610_1.6TB_SFF_00011B328FE4D25C),Dell Express Fla,1490.4150390625 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.20.31.102,OK,isvmesx02,root,VMware10!,,,,,,,,,TRUE,6.7.0,,Dell Inc.,PowerEdge R640,Intel,Intel Xeon Platinum 8260 CPU @ 2.40GHz,2394,Intel-Other,2,48,96,766 GB,9,7.3,21.8,7,2,5,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,,,,,,,,,,,,,,,,,vmhba0,"Intel Corporation Dell Express Flash NVMe P4610 (MU) 1.6TB PCIe U.2 SSD Controller
",vmhba1,"Avago (LSI Logic) Dell HBA330 Mini
",vmhba2,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba3,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba4,"Marvell Technology Group Ltd. 88SE9230 PCIe SATA 6Gb/s Controller
",,,,,,,,,,,,,,Marvell,Local Marvell Processor (eui.0050430000000000),Console,0.0 GB,DP,Local DP Enclosure Svc Dev (naa.500056b3679f07fd),BP14G+EXP,0.0 GB,ATA,Local ATA Disk (naa.55cd2e41513a131b),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a5c78),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a5ca5),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (t10.ATA_____SSDSCKKB240G8R__________________________PHYH934000VP240J____),SSDSCKKB240G8R,223.5703125 GB,NVMe,Local NVMe Disk (t10.NVMe____Dell_Express_Flash_NVMe_P4610_1.6TB_SFF_000111E695E4D25C),Dell Express Fla,1490.4150390625 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.20.31.103,OK,isvmesx03,root,VMware10!,,,,,,,,,TRUE,6.7.0,,Dell Inc.,PowerEdge R640,Intel,Intel Xeon Platinum 8260 CPU @ 2.40GHz,2394,Intel-Other,2,48,96,766 GB,10,7.54,20.58,7,2,5,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,,,,,,,,,,,,,,,,,vmhba0,"Intel Corporation Dell Express Flash NVMe P4610 (MU) 1.6TB PCIe U.2 SSD Controller
",vmhba1,"Avago (LSI Logic) Dell HBA330 Mini
",vmhba2,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba3,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba4,"Marvell Technology Group Ltd. 88SE9230 PCIe SATA 6Gb/s Controller
",,,,,,,,,,,,,,Marvell,Local Marvell Processor (eui.0050430000000000),Console,0.0 GB,DP,Local DP Enclosure Svc Dev (naa.500056b33fbc8afd),BP14G+EXP,0.0 GB,ATA,Local ATA Disk (naa.55cd2e41513a1f85),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a5cbb),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a8b8a),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (t10.ATA_____SSDSCKKB240G8R__________________________PHYH934000LW240J____),SSDSCKKB240G8R,223.5703125 GB,NVMe,Local NVMe Disk (t10.NVMe____Dell_Express_Flash_NVMe_P4610_1.6TB_SFF_000112F9F8E4D25C),Dell Express Fla,1490.4150390625 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.20.31.104,OK,isvmesx04,root,VMware10!,,,,,,,,,TRUE,6.7.0,,Dell Inc.,PowerEdge R640,Intel,Intel Xeon Platinum 8260 CPU @ 2.40GHz,2394,Intel-Other,2,48,96,766 GB,18,5.36,25.57,7,2,5,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,,,,,,,,,,,,,,,,,vmhba0,"Intel Corporation Dell Express Flash NVMe P4610 (MU) 1.6TB PCIe U.2 SSD Controller
",vmhba1,"Avago (LSI Logic) Dell HBA330 Mini
",vmhba2,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba3,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba4,"Marvell Technology Group Ltd. 88SE9230 PCIe SATA 6Gb/s Controller
",,,,,,,,,,,,,,Marvell,Local Marvell Processor (eui.0050430000000000),Console,0.0 GB,DP,Local DP Enclosure Svc Dev (naa.500056b391c3b3fd),BP14G+EXP,0.0 GB,ATA,Local ATA Disk (naa.55cd2e41513a1239),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a1302),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a5c47),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (t10.ATA_____SSDSCKKB240G8R__________________________PHYH934000LY240J____),SSDSCKKB240G8R,223.5703125 GB,NVMe,Local NVMe Disk (t10.NVMe____Dell_Express_Flash_NVMe_P4610_1.6TB_SFF_00011205A5E4D25C),Dell Express Fla,1490.4150390625 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.20.31.215,OK,isvwesx15,root,VMware10!,,,,,,,,,TRUE,6.7.0,,Dell Inc.,PowerEdge R640,Intel,Intel Xeon Platinum 8260 CPU @ 2.40GHz,2394,Intel-Other,2,48,96,766 GB,5,1.7,20.29,7,2,5,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,,,,,,,,,,,,,,,,,vmhba0,"Intel Corporation Dell Express Flash NVMe P4610 (MU) 1.6TB PCIe U.2 SSD Controller
",vmhba1,"Avago (LSI Logic) Dell HBA330 Mini
",vmhba2,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba3,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba4,"Marvell Technology Group Ltd. 88SE9230 PCIe SATA 6Gb/s Controller
",,,,,,,,,,,,,,Marvell,Local Marvell Processor (eui.0050430000000000),Console,0.0 GB,DP,Local DP Enclosure Svc Dev (naa.500056b3a2e454fd),BP14G+EXP,0.0 GB,ATA,Local ATA Disk (naa.55cd2e41513a5c7e),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a5ce2),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513ab74f),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (t10.ATA_____SSDSCKKB240G8R__________________________PHYH934000LX240J____),SSDSCKKB240G8R,223.5703125 GB,NVMe,Local NVMe Disk (t10.NVMe____Dell_Express_Flash_NVMe_P4610_1.6TB_SFF_000111E9E3E4D25C),Dell Express Fla,1490.4150390625 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.20.31.216,OK,isvwesx16,root,VMware10!,,,,,,,,,TRUE,6.7.0,,Dell Inc.,PowerEdge R640,Intel,Intel Xeon Platinum 8260 CPU @ 2.40GHz,2394,Intel-Other,2,48,96,766 GB,3,0.87,15.48,7,2,5,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,,,,,,,,,,,,,,,,,vmhba0,"Intel Corporation Dell Express Flash NVMe P4610 (MU) 1.6TB PCIe U.2 SSD Controller
",vmhba1,"Avago (LSI Logic) Dell HBA330 Mini
",vmhba2,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba3,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba4,"Marvell Technology Group Ltd. 88SE9230 PCIe SATA 6Gb/s Controller
",,,,,,,,,,,,,,Marvell,Local Marvell Processor (eui.0050430000000000),Console,0.0 GB,DP,Local DP Enclosure Svc Dev (naa.500056b3761efbfd),BP14G+EXP,0.0 GB,ATA,Local ATA Disk (naa.55cd2e41513a5c44),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a5c61),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a5c73),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (t10.ATA_____SSDSCKKB240G8R__________________________PHYH934000LT240J____),SSDSCKKB240G8R,223.5703125 GB,NVMe,Local NVMe Disk (t10.NVMe____Dell_Express_Flash_NVMe_P4610_1.6TB_SFF_00011231CEE4D25C),Dell Express Fla,1490.4150390625 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.20.31.217,OK,isvwesx17,root,VMware10!,,,,,,,,,TRUE,6.7.0,,Dell Inc.,PowerEdge R640,Intel,Intel Xeon Platinum 8260 CPU @ 2.40GHz,2394,Intel-Other,2,48,96,766 GB,2,1.01,14.61,7,2,5,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,,,,,,,,,,,,,,,,,vmhba0,"Intel Corporation Dell Express Flash NVMe P4610 (MU) 1.6TB PCIe U.2 SSD Controller
",vmhba1,"Avago (LSI Logic) Dell HBA330 Mini
",vmhba2,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba3,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba4,"Marvell Technology Group Ltd. 88SE9230 PCIe SATA 6Gb/s Controller
",,,,,,,,,,,,,,Marvell,Local Marvell Processor (eui.0050430000000000),Console,0.0 GB,DP,Local DP Enclosure Svc Dev (naa.500056b3e3932afd),BP14G+EXP,0.0 GB,ATA,Local ATA Disk (naa.55cd2e41513a1254),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a22a4),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a5e3b),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (t10.ATA_____SSDSCKKB240G8R__________________________PHYH934002KH240J____),SSDSCKKB240G8R,223.5703125 GB,NVMe,Local NVMe Disk (t10.NVMe____Dell_Express_Flash_NVMe_P4610_1.6TB_SFF_0001120557E4D25C),Dell Express Fla,1490.4150390625 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.20.31.218,OK,isvwesx18,root,VMware10!,,,,,,,,,TRUE,6.7.0,,Dell Inc.,PowerEdge R640,Intel,Intel Xeon Platinum 8260 CPU @ 2.40GHz,2394,Intel-Other,2,48,96,766 GB,1,1.65,12.94,7,2,5,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,,,,,,,,,,,,,,,,,vmhba0,"Intel Corporation Dell Express Flash NVMe P4610 (MU) 1.6TB PCIe U.2 SSD Controller
",vmhba1,"Avago (LSI Logic) Dell HBA330 Mini
",vmhba2,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba3,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba4,"Marvell Technology Group Ltd. 88SE9230 PCIe SATA 6Gb/s Controller
",,,,,,,,,,,,,,Marvell,Local Marvell Processor (eui.0050430000000000),Console,0.0 GB,DP,Local DP Enclosure Svc Dev (naa.500056b3225c2dfd),BP14G+EXP,0.0 GB,ATA,Local ATA Disk (naa.55cd2e41513a0ba7),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a1f8b),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a5c32),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (t10.ATA_____SSDSCKKB240G8R__________________________PHYH934002E3240J____),SSDSCKKB240G8R,223.5703125 GB,NVMe,Local NVMe Disk (t10.NVMe____Dell_Express_Flash_NVMe_P4610_1.6TB_SFF_000112FED3E4D25C),Dell Express Fla,1490.4150390625 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.20.31.219,OK,isvwesx19,root,VMware10!,,,,,,,,,TRUE,6.7.0,,Dell Inc.,PowerEdge R640,Intel,Intel Xeon Platinum 8260 CPU @ 2.40GHz,2394,Intel-Other,2,48,96,766 GB,1,0.75,4.63,7,2,5,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,,,,,,,,,,,,,,,,,vmhba0,"Intel Corporation Dell Express Flash NVMe P4610 (MU) 1.6TB PCIe U.2 SSD Controller
",vmhba1,"Avago (LSI Logic) Dell HBA330 Mini
",vmhba2,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba3,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba4,"Marvell Technology Group Ltd. 88SE9230 PCIe SATA 6Gb/s Controller
",,,,,,,,,,,,,,Marvell,Local Marvell Processor (eui.0050430000000000),Console,0.0 GB,DP,Local DP Enclosure Svc Dev (naa.500056b3d4acdbfd),BP14G+EXP,0.0 GB,ATA,Local ATA Disk (naa.55cd2e41513a1f70),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a1f7d),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a2296),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (t10.ATA_____SSDSCKKB240G8R__________________________PHYH934000S3240J____),SSDSCKKB240G8R,223.5703125 GB,NVMe,Local NVMe Disk (t10.NVMe____Dell_Express_Flash_NVMe_P4610_1.6TB_SFF_000112F9E4E4D25C),Dell Express Fla,1490.4150390625 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.20.31.220,OK,isvwesx20,root,VMware10!,,,,,,,,,TRUE,6.7.0,,Dell Inc.,PowerEdge R640,Intel,Intel Xeon Platinum 8260 CPU @ 2.40GHz,2394,Intel-Other,2,48,96,766 GB,1,0.78,4.61,7,2,5,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,DA,40000Mbps,Mellanox Technologies MT28800 Family [ConnectX-5 Ex],Up,,,,,,,,,,,,,,,,,vmhba0,"Intel Corporation Dell Express Flash NVMe P4610 (MU) 1.6TB PCIe U.2 SSD Controller
",vmhba1,"Avago (LSI Logic) Dell HBA330 Mini
",vmhba2,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba3,"Intel Corporation Lewisburg SATA AHCI Controller
",vmhba4,"Marvell Technology Group Ltd. 88SE9230 PCIe SATA 6Gb/s Controller
",,,,,,,,,,,,,,Marvell,Local Marvell Processor (eui.0050430000000000),Console,0.0 GB,DP,Local DP Enclosure Svc Dev (naa.500056b3b9d52dfd),BP14G+EXP,0.0 GB,ATA,Local ATA Disk (naa.55cd2e41513a0bb9),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513a5cd4),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (naa.55cd2e41513ae4a8),SSDSC2KB038T8R,3576.982421875 GB,ATA,Local ATA Disk (t10.ATA_____SSDSCKKB240G8R__________________________PHYH934002DM240J____),SSDSCKKB240G8R,223.5703125 GB,NVMe,Local NVMe Disk (t10.NVMe____Dell_Express_Flash_NVMe_P4610_1.6TB_SFF_0001124857E4D25C),Dell Express Fla,1490.4150390625 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
